One-syllable words with vowel disambiguators

'heard': HAERD
'poor': PAOR
'stood': STAOD
'read': RAED
'hear': HAER
'road': RAOD
'real': RAEL
'peace': PAES
'tears': TAERS
'school': SKAOL
'wood': WAOD
'troops': TRAOPS
'pale': PAEL
'woods': WAODZ
'weight': WAET
'proof': PRAOF
'wear': WAER
'tale': TAEL
'roof': RAOF
'cool': KAOL
'waste': WAEFT
'stared': STAERD
'schools': SKAOLS
'swear': SWAER
'roads': RAODZ
'scale': SKAEL
'tear': TAER
'root': RAOT
'sale': SAEL
'seas': SAES
'roots': RAOTS
'coarse': KAORS
'wasted': WAEFD
'steal': STAEL
'proofs': PRAOFS
'stare': STAER
'pool': PAOL
'wool': WAOL
'tools': TAOLS
'hears': HAERS
'hearth': HAERT
'stooped': STAOPD
'troop': TRAOP
'reads': RAEDZ
'roared': RAORD
'wears': WAERS
'roofs': RAOFS
'sales': SAELS
'hoarse': HAORS
'tool': TAOL
'heal': HAEL
'stoop': STAOP
'hood': HAOD
'pools': PAOLS
